H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.045	0.042	0.034	0.047	0.015	0.064	0.03	0	0.011	0	0.27	0	0.396	0	0.06
0.054	0.039	0.043	0.039	0.004	0.043	0.017	0	0.008	0.056	1	0	0.454	0.051	0.092
0.039	0.048	0.035	0.029	0.004	0.029	0.016	0	0.007	0	0.315	0	0.34	0.051	0.062
0.039	0.054	0.032	0.022	0.011	0.071	0	0.253	0.01	0	0.747	0	0.482	0.062	0.055
0.039	0.039	0.043	0.066	0.086	0.04	0.006	0	0.007	0	0.384	0	0.362	0	0.055
0.039	0.069	0.032	0.022	0.043	0.018	0.026	0.973	0.007	0.075	0.502	0	0.312	0.051	0.091
0.039	0	0.032	0.04	0.018	0.05	0	0.002	0.005	0	0.368	0	0.252	0.051	0.065
0.039	0.041	0.04	0.029	0.015	0.035	0.01	0.008	0.009	0	0.255	0	0.322	0.051	0.062
0.039	0.039	0.032	0.035	0.018	0.042	0.038	0.004	0.012	0	0.052	0	0.432	0.051	0.055
0.039	0.039	0.035	0.022	0.022	0.066	0.013	0.008	0.012	0	0.296	0	0.46	0.051	0.055
0.048	0.045	0.04	0.022	0.004	0.073	0.042	0.07	0.014	0	0.083	0	0.494	0.051	0.055
0.039	0.039	0.036	0.028	0.011	0.029	0.012	0	0.009	0	0.238	0	0.294	0.051	0.055
0.041	0	0.032	0.035	0.023	0.029	0.028	0	0.008	0	0.03	0	0.338	0	0
0.049	0.039	0	0.032	0.004	0.034	0.01	0	0.008	0	0.226	0	0.326	0.051	0.055
0.039	0	0.038	0.03	0.026	0.038	0.007	0.002	0.007	0	0.551	0	0.328	0	0.085
0.039	0.046	0.04	0.034	0.011	0.063	0.007	0.004	0.008	0	0.094	0	0.362	0	0.055
0.039	0.039	0.034	0.022	0.011	0.05	0.038	0	0.007	0	0.086	0	0.342	0.051	0.065
0.039	0.039	0.044	0.03	0.011	0.037	0.005	0	0.008	0	0.191	0	0.338	0.051	0.055
0.039	0	0.032	0.033	0.019	0.04	0.03	0	0.007	0	0.067	0	0.308	0.056	0.055
0	0.039	0.032	0.056	0.004	0.024	0.039	0.031	0.007	0.056	0.094	0	0.276	0.081	0.09
0.039	0	0.032	0.022	0.007	0.018	0.007	0.033	0.01	0	0.959	0	0.442	0.051	0
0.046	0.039	0.032	0.03	0.011	0.018	0	0.019	0.015	0	0.113	0	0.316	0	0
0.052	0	0.046	0.033	0.011	0.041	0.007	0	0.009	0	0.18	0	0.398	0.051	0.055
0.043	0.039	0.037	0.046	0.011	0.033	0.005	0	0.007	0	0.068	0	0.31	0.051	0.055
0.041	0.039	0.036	0.042	0.007	0.042	0.026	0.011	0.009	0	0.467	0	0.34	0.051	0.077
0.039	0.043	0.032	0.022	0.007	0.032	0.012	0.08	0.011	0.056	0.235	0	0.414	0.055	0
0	0.047	0.046	0.022	0.015	0.056	0.005	0.013	0.014	0	0.131	0	0.416	0.051	0.061
0.039	0.039	0.041	0	0.015	0.022	0.021	0.083	0.009	0	1.32	0	0.426	0.051	0.07
0.039	0.039	0.032	0.049	0.015	0.024	0.006	0.003	0.015	0	0.066	0	0.4	0.058	0.055
