H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.41	0.085	0.034	0.159	0.365	0.024	0.323	0.333	0.038	0.17	0.13	0	0.498	0.051	0.104
0	0.056	0.042	0.022	0.014	0.028	0.006	0.022	0.006	0	0.386	0	0.472	0.051	0.055
0	0.045	0.032	0.072	0.035	0.018	0.016	1.17	0.011	0.071	1.55	0	0.474	0.051	0.069
0.042	0.094	0.032	0.027	0.054	0.04	0.024	0.082	0.019	0.085	0.472	0	0.512	0.064	0.073
0.039	0.089	0.045	0.032	0.017	0.025	0.049	1.34	0.063	0.078	0.748	0	0.4	0.237	0.267
1.49	0.052	0.032	0.033	0.442	0.031	1	0.378	0.221	0.272	0.426	4	0.67	0.114	0.109
0.046	0.039	0.037	0.045	0.01	0.02	0.021	0.038	0.012	0	0.658	0	0.394	0.062	0.065
0.883	0.044	0.032	0.034	0.634	0.033	0.66	1.02	0.09	0.088	0.242	0	0.5	0.095	0.159
0.043	0.05	0.032	0.022	0.014	0.03	0.016	0.771	0.011	0.056	0.787	0	0.376	0.051	0
0.048	0.046	0.032	0.022	0.033	0.04	0.024	0.203	0.02	0	0.712	0	0.362	0.051	0.074
0.039	0.076	0.035	0.029	0.028	0.024	0.016	0.166	0.01	0.056	0.705	0	0.44	0.051	0.073
0	0.166	0.032	0.022	0.031	0.027	0.021	0.26	0.009	0.103	0.299	0	0.44	0.051	0.076
0.039	0.055	0.037	0.022	0.02	0.036	0.01	1	0.007	0.056	1.21	0	0.44	0.051	0.055
0.045	0.069	0.037	0.022	0.024	0.042	0.031	0.045	0.01	0.103	0.334	0	0.456	0.051	0.058
0.039	0.135	0.032	0.022	0.035	0.044	0.042	0.096	0.121	0.208	2.12	0	0.508	0.233	0.411
0.805	0.048	0.032	0.022	0.357	0.034	0.694	0.893	0.772	0.206	0.945	5	0.752	0.051	0.262
