H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0	0.032	0.027	0.073	0.071	0.063	0.082	0.065	0.049	0.0475
0	0.025	0.016	0.068	0.185	0.063	0	1.7	0.032	0.0722
0.17	0.007	0.054	0.075	0.15	0.063	0	0.848	0.041	0.0119
0	0.032	0.022	0.038	0.112	0.063	0.082	4.18	0.035	0.099
0.04	0.031	0.064	0.075	0.071	0.063	0.082	0.071	0.039	0.0525
0.504	0.012	0.042	0.673	0.071	0.608	0.082	0.664	0.08	0.0532
0	0.013	0.024	0.056	0.146	0.063	0.082	0.403	0.045	0.0015
0.21	0.045	0.016	0.06	0.094	0.138	0.082	0.565	0.046	0.0739
0	0.036	0.044	0.05	0.16	0.063	0	0.946	0.032	0.0216
0.245	0.05	0.059	0	0.071	0.063	0	0.358	0.043	0.0319
0.334	0.007	0.029	0.08	0.071	0.083	0	0.414	0.032	0.0472
0	0.033	0.027	0.054	0.071	0.063	0.082	0.228	0.034	0.00138
0	0.024	0.043	0.07	0.071	0	0.082	0.063	0.033	0.0208
0.363	0.033	0.024	0.074	0.071	0.063	0.176	1.35	0.044	0.06
0.402	0.007	0.043	0.062	0.084	0.252	0.145	0.157	0.058	0.0206
0.962	1.17	0.37	0.35	0.28	0.314	0.191	0.004	0.058	0.00125
0.17	0.007	0.024	0.069	0.11	0.063	0.095	0.154	0.04	0.0425
0.224	0.037	0.054	0.06	0.071	0.12	0.1	0.133	0.047	0.0315
