H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0.519	0.027	0.035	0.673	0.071	0.376	0.082	0.105	0.378	0.00767
0	0.028	0.064	0.079	0.071	0.063	0	0.004	0.032	0.005
0	0.039	0.049	0.047	0	0.063	0.082	0.004	0.05	0.0015
0	0.048	0.016	0.044	0.071	0.114	0.092	0.004	0.04	0.00345
0.239	0.017	0.04	0.094	0.071	0.063	0.082	0.016	0.034	0.0029
0.141	0.028	0.042	0.06	0.081	0.063	0.082	0.092	0.048	0.00467
0	0.024	0.035	0.038	0.087	0.063	0.092	0.295	0.034	0.00859
0	0.022	0.029	0	0.071	0.088	0.09	0.302	0.067	0.00682
0	0.031	0.037	0.059	0.071	0.063	0.082	0.342	0.035	0.0139
0.232	0.007	0.016	0.537	0	0.378	0.082	0.41	0.221	0.056
0	0.041	0.033	0.083	0.071	0.063	0.154	0.052	0.036	0
0.141	0.037	0.051	0.056	0.071	0.15	0.15	0.004	0.146	0.00125
0	0.024	0.03	0.052	0	0.063	0.11	0.028	0.055	0.00567
0.324	0.016	0.041	0	0	0.063	0.082	0.004	0.045	0.00112
0	0.026	0.044	0.07	0.071	0.226	0.203	0.042	0.125	0.00136
0	0.038	0.041	0.054	0.071	0.063	0.121	0.004	0.043	0.00136
0.322	0.025	0.06	0.056	0	0.063	0.082	0.004	0.044	0.0015
0	0.025	0.038	0.071	0.071	0.063	0.082	0.004	0.04	0
0	0.007	0.021	0.114	0.085	0.063	0.082	3.19	0.033	0.16
0.615	0.031	0.05	0.051	0.15	0.063	0	0.06	0.048	0
0	0.022	0.036	0.11	0.071	0	0	0.004	0.036	0
0	0.039	0.034	0.064	0.071	0.063	0.111	0.004	0.042	0.0021
0	0.03	0.027	0.08	0	0	0.082	0.004	0.033	0.00291
0.31	0.019	0.025	0.506	0	0.758	0.106	0.137	0.127	0.302
0.255	0.01	0.033	0.078	0.096	0.063	0.123	0.004	0.043	0.00125
0	0.026	0.049	0.075	0.071	0.063	0.092	0.004	0.032	0
0.202	0.028	0.052	0.063	0.071	0.063	0.097	0.004	0.052	0.0015
0	0.033	0.037	0	0.071	0	0.082	0.004	0.032	0
0	0.02	0.05	0.038	0.258	0.063	0.111	0.046	0.054	0.027
0	0.019	0.048	0.038	0.071	0.162	0.082	0.004	0.038	0.0015
0	0.01	0.037	0.066	0.071	0.063	0	0.004	0.032	0
0	0.031	0.035	0	0	0	0	0.024	0.032	0
0	0.007	0.045	0.07	0	0.063	0.082	0.004	0.035	0
0	0.023	0.024	0.038	0.071	0.316	0.11	0.577	0.034	0.047
0	0.007	0.047	0.052	0.071	0.063	0	0.004	0	0
0	0.02	0.055	0.038	0.071	0.063	0.082	0.004	0.032	0
0	0.027	0.023	0.049	0.071	0.063	0.082	0.004	0.038	0
