H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0.022	0.037	0.054	0.062	0.078	2.49	0.018	0.338	0.032	0.0376
0.022	0.045	0.06	0.054	0.081	0	0.048	0.308	0.032	0.0256
0	0.052	0.074	0.038	0.088	0	0.018	0.303	0.032	0.0402
0.022	0.038	0.048	0.129	0.094	0.305	0.044	0.327	0.126	1.01
0	0.037	0.053	0.062	0	0.22	0.018	0.791	0.039	0.812
0.022	0.04	0.055	0.059	0.124	0.098	0.018	0.948	0.044	0.14
0.027	0.048	0.065	0.064	0.075	0	0.03	0.052	0.036	0.0115
0.115	0.053	0.082	0.061	0.205	0.186	0.075	3.1	0.036	0.13
0.07	0.03	0.05	0.061	0.129	0.16	0.116	0.128	0.04	0.168
0.113	0.03	0.062	0.038	0.174	0.181	0.103	5.07	0.032	0.172
0.105	0.03	0.061	0.038	0.144	0.119	0.054	3.56	0.044	0.277
0.161	0.039	0.048	0.255	0.084	0.35	0.081	0.02	0.548	0.128
0.22	0.038	0.055	0.093	0.087	0.152	0.098	0.291	0.044	0.205
0	0.042	0.06	0.038	0.133	0	0.063	0.365	0.032	0.0095
0.022	0.034	0.048	0.038	0.105	0	0.058	0.521	0.032	0.0121
0.022	0.044	0.868	0.052	0.137	0	0.018	0.006	0.032	0
0.175	0.046	0.079	0.052	0.094	0.08	0.018	0.39	0.033	0.0403
0.322	0.034	0.058	0.038	0.084	0	0.05	0.265	0.032	0.0541
0.117	0.038	0.053	0.059	0.156	0.292	0.129	1.34	0.032	0.0242
0.18	0.037	0.048	0.048	0.114	0.08	0.04	0.026	0.039	0.107
0.626	0.042	0.048	0.878	0.126	0.108	0.069	1.18	0.074	0.143
0.188	0.033	0.063	0.062	0.173	0	0.061	0.442	0.032	0.0321
0.048	0.038	0.058	0.048	0.108	0.063	0.118	0.15	0.033	0.0374
0.022	0.03	0.048	0.049	0.077	0.076	0.065	0.339	0.032	0.0152
0.022	0.034	0.048	0.08	0.078	0	0.018	0.044	0.038	0.0186
0.044	0.036	0.048	0.038	0.108	0	0	0.31	0.033	0.0835
0.151	0.043	0.081	0.077	0.094	0.231	0.063	0.621	0.038	0.0991
0.226	0.042	1.05	0.038	0.088	0.063	0.067	0.009	0.038	0.152
0.022	0.042	0.06	0.038	0.144	0.106	0.068	0.1	0.032	0.0163
0.105	0.03	0.048	0.059	0.103	0.131	0.034	0.02	0.034	0.0219
0.204	0.03	0.055	0.075	0.167	0.156	0.048	0.217	0.039	0.0769
0.105	0.034	0.056	0.044	0.244	0.083	0.075	0.846	0.032	0.1
0.022	0.045	0.075	0.038	0.082	0	0.018	0.072	0.033	0.114
0.074	0.034	0.048	0.056	0.13	0.228	0.099	0.055	0.035	0.341
0.022	0.048	0.048	0.038	0.075	0.104	0.032	0.022	0.032	0.0163
0.089	0.055	0.048	0.052	0.132	0.188	0.057	0.259	0.036	0.0344
0.188	0.041	0.051	0.08	0.071	0.096	0.058	0.063	0.032	0.0447
