H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.034	0.012	0.034	0	0.01	0.029	0.023	0	0.009	0	0.261	0	0.5	0.048	0.055
0	0.031	0.033	0.025	0.012	0.034	0.019	0	0.007	0	0.368	0	0.356	0	0.055
0.035	0.015	0.06	0.041	0.004	0.07	0.059	0	0.007	0	0.285	0	0.44	0.051	0.055
0	0.03	0.033	0.032	0.004	0.018	0.019	0	0.005	0	0.072	0	0.264	0.048	0.067
0.033	0.03	0.033	0.034	0.018	0.024	0.005	0	0.008	0	0.291	0	0.324	0	0.076
0.034	0.028	0.053	0.069	0.01	0.034	0.005	0.07	0.011	0	0.631	0	0.468	0.048	0.055
0.048	0.042	0.034	0	0.004	0.023	0.01	0	0.006	0	2.2	0	0.408	0.048	0.055
0.059	0.038	0.036	0.09	0.09	0.037	0.034	0.07	0.01	0	0.286	0	0.496	0.048	0.067
0	0	0.034	0	0.004	0.021	0.014	0	0.009	0	0.193	0	0.63	0.048	0.055
0.032	0.028	0.042	0.053	0.015	0.039	0.023	0	0.009	0	0.115	0	0.358	0.048	0.055
0.054	0.056	0.035	0.063	0.038	0.018	0.022	0.359	0.014	0.138	1.13	0	0.468	0.048	0.074
0.035	0.025	0.033	0.044	0.004	0.037	0.014	0	0.007	0	0.316	0	0.26	0.048	0.055
0.036	0.029	0.035	0	0.019	0.031	0.019	0	0.008	0	0.706	0	0.5	0.062	0.063
0.044	0.02	0.039	0.05	0.035	0.053	0.026	0	0.014	0	0.134	0	0.406	0.056	0.063
0.035	0.011	0.033	0.027	0.015	0.026	0.03	0	0.011	0	0.084	0	0.374	0.137	0.142
0.044	0.085	0.037	0.038	0.017	0.03	0.019	1.23	0.01	0.085	0.334	0	0.316	0.048	0.055
0.034	0.019	0.032	0.038	0.025	0.021	0.014	0.07	0.005	0	0.042	0	0.256	0.048	0
0.039	0.014	0.04	0.035	0.004	0.02	0.03	0	0.006	0	0.043	0	0.376	0.048	0.061
0.043	0.023	0.035	0.026	0.016	0.028	0.032	0	0.01	0.068	0.09	0	0.456	0.062	0.055
0.039	0.018	0.032	0	0.015	0.047	0.032	0	0.011	0	0.636	0	0.478	0.054	0.063
0.034	0.098	0.033	0.048	0.012	0.027	0.023	0.711	0.013	0.021	0.815	0	0.348	0.076	0.076
0.038	0.056	0.033	0.021	0.026	0.023	0.017	0.816	0.013	0.021	1.17	0	0.368	0.048	0.055
0.04	0.03	0.04	0.032	0.004	0.041	0.005	0	0.008	0	0.155	0	0.5	0.048	0.055
0.033	0.024	0.047	0.025	0.004	0.034	0.01	0	0.009	0	0.333	0	0.324	0.048	0.071
0.042	0.042	0.036	0.04	0.034	0.061	0.014	0	0.007	0	0.535	0	0.376	0.051	0.066
