H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0.348	0.03	0.06	0.049	0.071	0.123	0.066	0.009	0.038	0
0.154	0.04	0.059	0.066	0.08	0.063	0.109	0.036	0.041	0.0219
0	0.03	0.05	0.038	0	0.076	0.018	0.004	0.032	0
0.022	0.032	0.048	0.048	0.071	0	0.028	0.002	0.032	0
0.08	0.03	0.05	0.038	0.086	0.116	0.041	0.004	0.032	0
0.146	0.036	0.076	0.049	0.084	1.42	0.055	0.002	0.032	0
0.022	0.048	0.061	0.075	0.071	0.206	0.057	0.253	0.042	0.017
0.147	0.042	0.055	0.038	0.071	0.143	0.1	0.007	0.037	0
0.022	0.04	0.066	0.046	0.071	0	0.038	0.052	0.032	0
0.234	0.036	0.063	0.038	0.13	0.169	0.148	0.087	0.032	0.0155
0.177	0.045	0.059	0.077	0.076	0	0.105	0.007	0.188	0.008
0.022	0.03	0.061	0.068	0.076	0.063	0.087	0	0.032	0
0.09	0.036	0.067	0.056	0.088	0	0.064	0.042	0.226	0.0119
0.031	0.03	0.051	0.038	0.077	0.076	0.028	0.062	0.039	0
0.426	0.046	0.058	0.074	0.079	0.089	0.018	0.002	0.032	0
0	0.037	0.063	0.12	0.112	0	0.057	0.002	0.043	0
0.031	0.042	0.05	0.08	0.071	0.108	0.074	0.004	0.043	0
0	0.047	0.048	0.038	0.071	0.248	0.059	0.013	0.032	0
0.092	0.039	0.048	0.059	0.072	0.163	0.058	0.012	0.039	0
0.022	0.032	0.048	0	0	0.074	0.036	0.033	0.034	0.0136
0.172	0.038	0.056	0.038	0.082	0.354	0.055	0.009	0.038	0.0153
0	0.034	0.052	0.038	0	0.119	0.018	0.004	0.032	0
0.353	0.03	0.076	0.047	0.077	0.237	0.036	0.044	0.044	0
0.022	0.037	0.059	0.05	0.086	0.949	0.047	0.005	0.033	0
0.14	0.041	0.07	0.038	0.071	0	0.03	0.015	0.034	0.0152
0.022	0.034	0.079	0.038	0.077	0	0.054	0	0.032	0
0.188	0.03	0.048	0.038	0.082	0	0.05	0	0.035	0.0116
0.022	0.05	0.048	0.09	0	0	0.018	0	0.033	0
0	0.032	0.06	0.038	0.071	0	0.033	0.024	0.036	0
0.082	0.03	0.048	0.038	0.071	0.119	0.034	0.004	0.032	0
0.022	0.033	0.048	0.08	0.105	0	0.018	0.007	0.032	0
0.077	0.03	0.064	0.092	0.097	0.481	0.026	0.002	0.033	0.0182
0.089	0.035	0.058	0.038	0.163	0.13	0.062	0.189	0.035	0.0277
0.188	0.044	0.066	0.056	0.088	0.195	0.069	0	0.034	0
0	0.03	0.054	0.054	0.076	0.065	0.026	0.053	0.035	0.012
0.098	0.03	0.048	0.071	0.153	0	0.092	0.145	0.037	0.0155
0.237	0.044	0.058	0.175	0.081	0.192	0.105	0.089	0.247	0.017
0.022	0.058	0.062	0.071	0.074	0.224	0.071	0.017	0.032	0
0.022	0.057	0.048	0.048	0.078	0	0.03	0.022	0.032	0
0	0.034	0.048	0.054	0.082	0	0.044	0.005	0.038	0
0.022	0.032	0	0.038	0.071	0.063	0.042	0.019	0.04	0
0.063	0.03	0.048	0.038	0.105	0	0.046	0.004	0.032	0
0.188	0.03	0.072	0.038	0.079	0	0.043	0.002	0.038	0
0.022	0.03	0.048	0.038	0.077	0.098	0.018	0	0.033	0
0.078	0.042	0.06	0.047	0.071	0.189	0.049	0	0.036	0
0.648	0.035	0.072	0.593	0.111	0.089	0.15	0.076	0.173	0.0498
0	0.039	0.048	0.038	0	0	0.018	0	0.032	0
0.315	0.061	0.05	0.048	0.098	0.118	0.102	0.002	0.046	0.0576
0.088	0.03	0.065	0.038	0.098	0.102	0.152	0.082	0.04	0.0164
0.022	0.034	0.055	0.038	0	0.069	0.091	0.009	0.033	0
0.022	0.03	0.06	0.071	0.077	0.063	0.018	0.011	0.032	0
0.022	0.04	0.048	0.046	0.071	0	0.087	0.029	0.05	0
0.022	0.033	0.048	0.038	0.079	0	0.054	0.004	0.042	0
0.022	0.03	0.068	0.066	0.071	0.19	0.055	0.007	0.032	0.0242
0.089	0.03	0.06	0.038	0.071	0.065	0.018	0.006	0.034	0
0	0.048	0.048	0.059	0	0	0	0.002	0.032	0
0.022	0.035	0.048	0.038	0.225	0	0.073	0.011	0.034	0
0.232	0.051	0.064	0.278	0.084	0.682	0.08	3.78	0.169	0.0911
0.516	0.03	0.114	0.18	0.129	0.156	0.185	0.02	0.069	0.0167
0.322	0.046	0.064	0.059	0.071	0	0.03	0.002	0.039	0
0.089	0.039	0	0.038	0.071	0.093	0.044	0.006	0.039	0
0.119	0.046	0.058	0	0.081	0.324	0.045	0	0.043	0
0.022	0.035	0.063	0.055	0	0	0.018	0.015	0.036	0
0.044	0.034	0.048	0.038	0.102	0.091	0.018	0.006	0.032	0
0.022	0.102	0.051	0.047	0	0.063	0.018	0.005	0	0.0213
0.022	0.034	0.059	0.08	0.071	0.074	0.018	0.028	0.033	0
0.067	0.032	0.048	0.076	0.133	0.146	0.115	0.356	0.033	0.0242
0.123	0.038	0.051	0.038	0.116	0.106	0.038	0.023	0.034	0
0.022	0.04	0.058	0.049	0.071	0.063	0.044	0.132	0.036	0
0.09	0.042	0.048	0.044	0.075	0	0.038	0	0.034	0
0.031	0.044	0.048	0.092	0	0	0.018	0.07	0.035	0.0179
